name,rSeason,r3Ptstat,nbaServicableShooter,rAge,rG,rGS,rMP,rFG,rFGA,r2P,r2PA,r3P,r3PA,rFT,rFTA,rPTS,r3PpG,r3PApG,r3Pp36,r3PAp36,rFG%,r2P%,r3P%,rFT%,rTS%,reFG%,rUsgPct,r3Pp100,r3PAp100,season,3PtStat,collegeServicableShooter,age,class,height,school,conf,role,Oposs,avgPosition,avgRole,PlusMinus,usg,efg,ts,dunks,dunkAtts,close2,close2Atts,close2Pct,far2,far2Atts,far2Pct,ft,ftAtts,ftPct,2p,2pAtt,2pPct,3pr,3p,3Pp100,3pAtts,3PAp100,3pPct,N1Sseason,N1Sage,N1Susg,N1Sefg,N1Sts,N1Sdunks,N1SdunkAtts,N1Sclose2,N1Sclose2Atts,N1Sclose2Pct,N1Sfar2,N1Sfar2Atts,N1Sfar2Pct,N1Sft,N1SftAtts,N1SftPct,N1S2p,N1S2pAtt,N1S2pPct,N1S3pr,N1S3p,N1S3pAtts,N1S3pPct,N2Sseason,N2Sage,N2Susg,N2Sefg,N2Sts,N2Sdunks,N2SdunkAtts,N2Sclose2,N2Sclose2Atts,N2Sclose2Pct,N2Sfar2,N2Sfar2Atts,N2Sfar2Pct,N2Sft,N2SftAtts,N2SftPct,N2S2p,N2S2pAtt,N2S2pPct,N2S3pr,N2S3p,N2S3pAtts,N2S3pPct,OBPR,BPR,Box OBPR,Box BPR,AdjTeamOffEff,AdjTeamEffmargin
Cody Martin,2019,0.485232728,FALSE,24,48,3,903,89,207,71,130,18,77,42,65,238,0.375,1.604,0.718,3.07,0.43,0.546,0.234,0.646,0.505,0.473,13.6,1,4.3,2018,0.82520352,TRUE,23,Sr,79,Nevada,MWC,Scoring PG,1788,1.6,1.9,264,18.4,56.4,59.6,14,15,73,102,0.716,44,101,0.436,74,97,0.763,117,203,0.576,31.9,34,1.901565996,95,5.313199105,0.358,2017,22,21.5,53.7,56.9,22,23,119,157,0.758,60,167,0.359,103,147,0.701,179,324,0.552,13.6,15,51,0.294,2015,20,15.3,47.6,50,4,4,42,67,0.627,33,93,0.355,40,67,0.597,75,160,0.469,4.2,3,7,0.429,2.39,4.24,2.22,3.04,109.2,19.2
Cameron Johnson,2019,1.25165091,TRUE,23,57,9,1255,176,405,70,133,106,272,46,57,504,1.86,4.772,3.041,7.802,0.435,0.526,0.39,0.807,0.586,0.565,15.7,4,10.3,2018,1.501640748,TRUE,22,Sr,81,North Carolina,ACC,Wing F,1945,2.8,1.8,430,20.7,62,64.7,9,10,67,94,0.713,48,114,0.421,90,110,0.818,115,208,0.553,50.2,96,4.935732648,210,10.79691517,0.457,2017,21,18.8,51.5,55.1,5,7,42,66,0.636,24,61,0.393,50,59,0.847,66,127,0.52,52.1,47,138,0.341,2016,20,16.3,58.7,61.6,5,5,39,59,0.661,10,37,0.27,60,74,0.811,49,96,0.51,66.1,78,187,0.417,4.83,7.31,3.98,4.84,119.1,35
Matisse Thybulle,2019,0.867149987,TRUE,22,65,14,1287,112,265,56,108,56,157,25,41,305,0.862,2.415,1.566,4.392,0.423,0.519,0.357,0.61,0.539,0.528,11.2,2.1,5.9,2018,0.861188706,TRUE,21,Sr,77,Washington,P12,Combo G,1894,1.8,2.7,173,17.2,50,54.2,39,41,60,79,0.759,6,40,0.15,57,67,0.851,66,119,0.555,55.9,46,2.428722281,151,7.972544879,0.305,2017,20,19,53.6,55.3,28,29,62,96,0.646,21,60,0.35,40,56,0.714,83,158,0.525,50.2,58,159,0.365,2016,19,16.9,55,57.5,10,12,27,48,0.563,37,82,0.451,37,44,0.841,64,130,0.492,50.2,53,131,0.405,0.96,5.93,0.77,4.67,102.6,18
Dylan Windler,2020,0.919459406,TRUE,24,31,0,513,57,130,31,53,26,77,21,27,161,0.839,2.484,1.825,5.404,0.438,0.585,0.338,0.778,0.567,0.538,14.8,2.5,7.4,2018,1.519353842,TRUE,22,Sr,80,Belmont,OVC,Stretch 4,1784,4.5,1.4,315,24.7,64.9,68,28,28,113,152,0.743,24,57,0.421,115,135,0.852,142,215,0.66,51.5,97,5.437219731,228,12.78026906,0.425,2017,21,22.6,65.3,66.8,24,25,113,164,0.689,13,30,0.433,94,131,0.718,135,203,0.665,44.4,69,162,0.426,2016,20,14,63.8,65.5,20,21,54,80,0.675,6,9,0.667,42,58,0.724,60,89,0.674,50.8,37,92,0.402,5.4,6.19,4.37,4.92,118.8,20.9
Malachi Flynn,2020,0.952239886,TRUE,22,47,14,928,127,340,73,172,54,168,45,56,353,1.149,3.574,2.095,6.517,0.374,0.424,0.321,0.804,0.484,0.453,19,2.8,8.8,2019,1.297851995,TRUE,21,Jr,73,San Diego St.,MWC,Scoring PG,1616,1.5,1,369,27.1,53.2,58.3,1,1,60,88,0.682,47,121,0.388,118,138,0.855,107,209,0.512,49,74,4.579207921,201,12.43811881,0.368,2017,19,25.3,51.1,55.4,0,0,45,73,0.616,40,96,0.417,88,104,0.846,85,164,0.518,58.2,77,228,0.338,2016,18,18,50,52,0,0,20,40,0.5,22,66,0.333,32,44,0.727,42,106,0.396,57.9,56,146,0.384,4.59,6.57,4.2,5.21,112,25.4
Eric Paschall,2019,0.552055523,FALSE,23,60,26,1654,318,640,281,511,37,129,164,212,837,0.617,2.15,0.805,2.808,0.497,0.55,0.287,0.774,0.571,0.526,21.4,1.1,3.7,2018,1.069777668,TRUE,22,Sr,80,Villanova,BE,Wing F,2127,3.5,2.5,182,23.8,52.8,57,34,36,84,121,0.694,41,113,0.363,135,181,0.746,125,235,0.532,46.1,70,3.291020216,201,9.449929478,0.348,2017,21,17.6,60,63.7,46,49,87,124,0.702,21,46,0.457,78,96,0.813,108,169,0.639,37.4,36,101,0.356,2016,20,18.1,56.2,58.3,35,37,66,94,0.702,15,34,0.441,41,59,0.695,81,127,0.638,34.9,19,68,0.279,3.02,4.06,1.82,2.37,113.6,18.2
Grant Williams,2019,0.524404424,FALSE,21,69,5,1043,87,211,63,115,24,96,39,54,237,0.348,1.391,0.828,3.314,0.412,0.548,0.25,0.722,0.505,0.469,11.6,1.1,4.4,2018,0.478538692,FALSE,20,Jr,79,Tennessee,SEC,Wing F,1943,4,1,346,27,58.3,64.7,23,23,109,151,0.722,106,211,0.502,211,258,0.818,215,361,0.596,10.9,14,0.720535255,44,2.264539372,0.318,2017,19,28,47.7,54.4,17,19,96,147,0.653,84,215,0.391,162,212,0.764,180,362,0.497,6.5,3,25,0.12,2016,18,25,52.5,57,11,12,78,124,0.629,38,100,0.38,124,187,0.663,116,224,0.518,12.2,12,31,0.387,4.43,6.11,3.42,4.61,121.1,28
Jericho Sims,2021,0,FALSE,23,41,5,555,39,54,39,54,0,0,12,29,90,0,0,0,0,0.722,0.722,0,0.414,0.674,0.722,6.9,0,0,2020,0,FALSE,22,Sr,82,Texas,B12,C,1099,5,3.1,121,18.3,68.6,65,59,62,86,108,0.796,8,28,0.286,52,100,0.52,94,136,0.691,0.7,0,0,1,0.090991811,0,2019,21,18.1,65.8,65.3,52,55,67,83,0.807,35,72,0.486,29,49,0.592,102,155,0.658,0,0,0,0,2017,19,14.7,60.7,57.3,33,38,54,74,0.73,17,41,0.415,29,68,0.426,71,116,0.612,0.9,0,1,0,1.9,4.1,1.54,2.89,110.8,22.1
Desmond Bane,2020,1.259485609,TRUE,22,68,17,1519,234,499,117,228,117,271,40,49,625,1.721,3.985,2.773,6.423,0.469,0.513,0.432,0.816,0.6,0.586,16.1,3.7,8.5,2019,1.449969279,TRUE,21,Sr,78,TCU,B12,Wing G,1815,2.7,1.2,5,23.5,54.9,56.5,0,0,63,102,0.618,37,120,0.308,44,56,0.786,100,222,0.45,47.1,87,4.79338843,198,10.90909091,0.439,2018,20,18.4,58.2,60.7,11,11,104,150,0.693,43,118,0.364,65,75,0.867,147,268,0.549,37.4,68,160,0.425,2017,19,17.3,64.9,67.1,7,7,68,98,0.694,12,35,0.343,64,82,0.78,86,141,0.61,47.6,59,128,0.461,2.7,3.96,1.99,2.79,101.8,8.6
Payton Pritchard,2020,1.273436924,TRUE,23,66,4,1268,184,418,82,170,102,248,40,45,510,1.545,3.758,2.896,7.041,0.44,0.482,0.411,0.889,0.582,0.562,16.7,3.9,9.6,2019,1.488912677,TRUE,22,Sr,74,Oregon,P12,Scoring PG,1647,1.3,1,281,28.4,56.3,60.1,0,0,92,153,0.601,36,97,0.371,115,140,0.821,128,250,0.512,45.9,88,5.343047966,212,12.87188828,0.415,2018,21,21.4,49.9,54.3,1,1,71,131,0.542,30,70,0.429,93,111,0.838,102,202,0.505,49.5,65,198,0.328,2017,20,21,55.4,58.3,1,1,70,135,0.519,23,58,0.397,82,106,0.774,93,192,0.484,51.8,85,206,0.413,5.01,6.71,4.83,5.44,114.4,22.7
Saben Lee,2020,0.411759153,FALSE,21,48,7,781,99,210,91,187,8,23,61,89,267,0.167,0.479,0.369,1.06,0.471,0.487,0.348,0.685,0.536,0.49,17,0.5,1.4,2019,0.810885196,TRUE,20,Jr,74,Vanderbilt,SEC,Scoring PG,1908,1.3,1,-81,29.7,53,58,24,29,137,227,0.604,24,66,0.364,155,206,0.752,161,293,0.549,29.2,39,2.044025157,121,6.341719078,0.322,2018,19,22.7,50.6,55.8,19,20,89,157,0.567,12,47,0.255,131,194,0.675,100,203,0.493,25.4,25,69,0.362,2017,18,23.8,50.8,55.5,11,13,86,152,0.566,6,22,0.273,85,117,0.726,92,174,0.529,30.1,23,75,0.307,3.16,3.19,2.63,3.39,100.4,-5.9
Davion Mitchell,2021,0.859612936,TRUE,23,75,19,2076,352,843,251,523,101,320,56,85,861,1.347,4.267,1.751,5.549,0.418,0.48,0.316,0.659,0.489,0.477,20.6,2.3,7.4,2020,1.288855281,TRUE,22,Jr,74,Baylor,B12,Pure PG,1696,1.2,1.4,482,21.6,61.3,62,2,2,70,111,0.631,25,57,0.439,43,66,0.652,95,168,0.565,45.6,63,3.714622642,141,8.313679245,0.447,2019,21,19.1,47.5,50.3,4,4,58,96,0.604,13,56,0.232,53,80,0.662,71,152,0.467,40.9,34,105,0.324,2017,19,13.5,50,52.6,0,0,28,43,0.651,2,12,0.167,21,31,0.677,30,53,0.566,49.5,15,52,0.288,5.17,7.53,4.33,5.3,125.7,39
Trey Murphy III,2021,1.243701894,TRUE,21,62,1,864,109,277,38,91,71,186,45,51,334,1.145,3,2.958,7.75,0.394,0.418,0.382,0.882,0.558,0.522,15.7,4.1,10.6,2020,1.414801018,TRUE,20,Jr,81,Virginia,ACC,Wing F,1124,2.9,2.7,199,17.3,63.9,67,23,24,33,47,0.702,11,24,0.458,38,41,0.927,44,71,0.62,62.8,52,4.62633452,120,10.67615658,0.433,2019,19,20.1,54.3,58,19,19,39,50,0.78,9,38,0.237,60,72,0.833,48,88,0.545,68.1,68,188,0.362,2018,18,16.5,62.9,64.5,4,4,9,10,0.9,11,28,0.393,37,51,0.725,20,38,0.526,79.1,63,144,0.438,3.81,4.41,3.24,4.08,118.1,27.8
Quentin Grimes,2021,1.319822715,TRUE,21,46,6,786,95,235,23,46,72,189,13,19,275,1.565,4.109,3.298,8.656,0.404,0.5,0.381,0.684,0.565,0.557,15.1,4.6,12,2020,1.56714421,TRUE,20,Jr,77,Houston,Amer,Wing G,1640,2.7,2.2,390,25.3,52.3,55.8,8,8,42,71,0.592,30,105,0.286,89,113,0.788,73,178,0.41,58.2,100,6.097560976,248,15.12195122,0.403,2019,19,23.7,51.6,54.2,7,8,53,81,0.654,32,77,0.416,68,103,0.66,85,158,0.538,44.9,42,129,0.326,2018,18,18.2,48.2,49.6,3,3,38,69,0.551,14,48,0.292,35,58,0.603,52,117,0.444,57.6,54,159,0.34,3.8,5.95,3.84,4.44,110.4,22.8
Ayo Dosunmu,2021,0.779690195,TRUE,22,77,40,2110,278,535,208,349,70,186,53,78,679,0.909,2.416,1.194,3.173,0.52,0.596,0.376,0.679,0.596,0.585,14.1,1.6,4.3,2020,0.84256279,TRUE,21,Jr,77,Illinois,B10,Combo G,1742,2.3,1.4,320,29.4,52.6,56.6,10,10,113,173,0.653,65,175,0.371,112,143,0.783,178,347,0.513,19.3,32,1.836969001,83,4.764638347,0.386,2019,20,25.5,51.3,54.2,6,6,97,136,0.713,64,164,0.39,71,93,0.763,161,300,0.537,23.7,27,93,0.29,2018,19,23.8,50.3,52.7,6,6,87,134,0.649,26,98,0.265,66,95,0.695,113,232,0.487,38,50,142,0.352,4.43,6.46,3.27,4.44,118.4,30.5
Kessler Edwards,2021,0.913717845,TRUE,21,48,23,987,110,267,62,131,48,136,16,19,284,1,2.833,1.751,4.96,0.412,0.473,0.353,0.842,0.516,0.502,13.8,2.4,6.7,2020,1.049345034,TRUE,20,Jr,80,Pepperdine,WCC,Stretch 4,1532,4.3,2.6,68,22.2,55.2,60.1,11,11,49,74,0.662,56,121,0.463,86,97,0.887,105,195,0.538,37.1,44,2.872062663,115,7.506527415,0.383,2019,19,18.8,57.4,60.7,21,24,76,125,0.608,23,59,0.39,86,114,0.754,99,184,0.538,40.8,53,127,0.417,2018,18,17.1,54.2,56.2,10,13,49,74,0.662,21,59,0.356,44,62,0.71,70,133,0.526,49.8,49,132,0.371,2.51,3.53,1.64,2.18,107.7,11.3
Corey Kispert,2021,1.038267788,TRUE,22,77,36,1801,234,514,122,194,112,320,54,62,634,1.455,4.156,2.239,6.396,0.455,0.629,0.35,0.871,0.586,0.564,14.6,3.1,8.8,2020,1.458469663,TRUE,21,Sr,79,Gonzaga,WCC,Wing G,1884,3.2,2.7,688,20.7,64.4,67.4,9,9,98,130,0.754,20,58,0.345,86,98,0.878,118,188,0.628,52.4,91,4.83014862,207,10.98726115,0.44,2019,20,17.2,59.3,62.1,7,7,53,94,0.564,25,57,0.439,68,84,0.81,78,151,0.517,54.1,78,178,0.438,2018,19,13.6,56.5,58.6,7,7,42,67,0.627,1,9,0.111,28,32,0.875,43,75,0.573,68.5,61,163,0.374,6.17,8.27,5.5,5.77,129,44.7
Herbert Jones,2021,0.639412543,FALSE,23,78,69,2335,274,576,217,407,57,169,137,163,742,0.731,2.167,0.879,2.606,0.476,0.533,0.337,0.84,0.573,0.525,13.7,1.2,3.6,2020,0.646724325,FALSE,22,Sr,80,Alabama,SEC,Wing F,1679,3.1,2.1,276,24.3,48.1,52.9,22,25,99,186,0.532,10,47,0.213,93,130,0.715,109,232,0.47,19.7,20,1.191185229,57,3.394877904,0.351,2019,21,17.6,48.7,52.9,13,17,66,112,0.589,7,27,0.259,65,104,0.625,73,139,0.525,9.2,1,14,0.071,2018,20,21.9,43.9,45.6,15,17,54,94,0.574,19,72,0.264,52,105,0.495,73,166,0.44,11.2,6,21,0.286,2.44,6.05,1.99,4.15,112.3,27.4
Aaron Wiggins,2021,0.719395302,TRUE,23,50,35,1209,156,337,114,199,42,138,62,85,416,0.84,2.76,1.251,4.109,0.463,0.573,0.304,0.729,0.556,0.525,15.3,1.7,5.6,2020,1.047281854,TRUE,22,Jr,78,Maryland,B10,Wing G,1670,3,2.5,66,24.9,51.7,54.2,15,17,64,99,0.646,42,107,0.393,56,73,0.767,106,206,0.515,42.6,53,3.173652695,153,9.161676647,0.346,2019,21,20.6,46.5,49,16,17,42,59,0.712,18,74,0.243,43,60,0.717,60,133,0.451,55.7,53,167,0.317,2018,20,17.3,50.8,53,4,4,20,47,0.426,15,55,0.273,26,30,0.867,35,102,0.343,59.5,62,150,0.413,3.32,4.54,2.74,4.2,111.8,15.6
Jalen Williams,2022,0.738217312,TRUE,21,75,62,2276,414,794,341,589,73,205,155,191,1056,0.973,2.733,1.155,3.243,0.521,0.579,0.356,0.812,0.601,0.567,18.4,1.5,4.3,2021,0.902236203,TRUE,20,Jr,78,Santa Clara,WCC,Combo G,2042,2.2,1.4,208,24.9,56.2,60.1,25,27,124,186,0.667,53,135,0.393,114,141,0.809,177,321,0.551,24.8,42,2.056807052,106,5.190989226,0.396,2020,19,20.5,44.9,51,8,9,32,59,0.542,18,47,0.383,56,74,0.757,50,106,0.472,36.9,17,62,0.274,2019,18,15.3,50.3,54,8,10,39,66,0.591,12,39,0.308,43,57,0.754,51,105,0.486,43.2,28,80,0.35,3.2,3.93,3.21,3.52,112.1,14.9
Ochai Agbaji,2022,1.065,TRUE,22,59,22,1209,165,386,84,158,81,228,56,69,467,1.373,3.864,2.412,6.789,0.427,0.532,0.355,0.812,0.561,0.532,15.8,3.2,9,2021,1.323652798,TRUE,21,Sr,77,Kansas,B12,Wing G,2392,2.8,2.6,485,23.3,57,59.5,37,41,119,164,0.726,36,126,0.286,113,152,0.743,155,290,0.534,46.6,103,4.306020067,253,10.57692308,0.407,2020,20,19.8,52.8,54.5,15,17,53,82,0.646,15,58,0.259,49,72,0.681,68,140,0.486,59.1,75,202,0.371,2019,19,16.8,51,52.6,13,19,51,84,0.607,17,46,0.37,33,49,0.673,68,130,0.523,50,43,130,0.331,4.2,6.51,3.27,4.22,119.2,32.5
Christian Braun,2022,0.708,TRUE,21,76,6,1181,143,289,109,193,34,96,40,64,360,0.447,1.263,1.036,2.926,0.495,0.565,0.354,0.625,0.568,0.554,13,1.4,4,2021,0.905250242,TRUE,20,Jr,78,Kansas,B12,Wing G,2400,3.1,2.8,429,20.2,55.6,58.5,27,27,124,197,0.629,33,90,0.367,99,135,0.733,156,286,0.545,31.6,51,2.125,132,5.5,0.386,2020,19,16.3,48.3,52.6,5,6,33,64,0.516,7,23,0.304,55,70,0.786,40,87,0.46,63,49,148,0.331,2019,18,12.4,56.6,58.7,3,4,16,36,0.444,6,17,0.353,19,25,0.76,22,53,0.415,56.2,31,68,0.456,3.4,6.16,3.13,4.49,117.4,30.9
Andrew Nembhard,2022,0.85732141,TRUE,23,75,63,2073,284,644,192,381,92,263,49,62,709,1.227,3.507,1.598,4.567,0.441,0.504,0.35,0.79,0.528,0.512,16.1,2.1,6,2021,1.016268853,TRUE,22,Sr,77,Gonzaga,WCC,Scoring PG,1889,1.2,2.4,530,19.6,53.4,56.4,2,3,47,77,0.61,42,100,0.42,48,55,0.873,89,177,0.503,42.9,51,2.699841186,133,7.040762308,0.383,2020,21,15.3,55.1,57.7,3,3,45,63,0.714,32,65,0.492,43,57,0.754,77,128,0.602,43.6,32,99,0.323,2019,20,22,49.5,52.8,0,1,51,79,0.646,47,112,0.42,55,71,0.775,98,191,0.513,35.3,32,104,0.308,4.41,6.44,4.11,4.98,121.6,36.1
David Roddy,2022,0.868327127,TRUE,21,70,4,1258,180,420,115,208,65,212,41,65,466,0.929,3.029,1.86,6.067,0.429,0.553,0.307,0.631,0.519,0.506,16.7,2.5,8,2021,1.095161392,TRUE,20,Jr,77,Colorado St.,MWC,Wing F,1640,4.1,1,222,28.8,63.4,64.9,27,31,108,151,0.715,64,124,0.516,102,147,0.694,172,275,0.625,27.2,45,2.743902439,103,6.280487805,0.437,2020,19,25.8,55.1,60,15,18,109,164,0.665,19,53,0.358,105,134,0.784,128,218,0.587,24,20,69,0.29,2019,18,24.7,48.5,53.3,11,15,86,128,0.672,24,70,0.343,83,113,0.735,110,198,0.556,27.5,15,75,0.2,4.28,5.66,3.86,4.56,114.2,19.9
Mark Williams,2022,0,FALSE,21,43,17,828,160,251,160,251,0,0,67,97,387,0,0,0,0,0.637,0.637,0,0.691,0.659,0.637,17,0,0,2021,0,FALSE,20,So,85,Duke,ACC,C,1571,5,2.3,276,18.6,71.8,72.4,96,101,171,219,0.781,20,46,0.435,56,77,0.727,191,265,0.721,0.4,0,0,1,0.063653724,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.46,6.02,3.88,5.94,122.2,28.2
Daniel Gafford,2019,0,FALSE,21,43,7,609,94,134,94,134,0,0,32,60,220,0,0,0,0,0.701,0.701,0,0.533,0.686,0.701,13.3,0,0,2018,0,FALSE,20,So,83,Arkansas,SEC,C,1688,5,1.7,201,25.2,65.9,65.1,86,91,182,224,0.813,31,99,0.313,114,193,0.591,213,323,0.659,0,0,0,0,0,0,2017,19,23.8,60.5,59.4,74,78,134,170,0.788,30,101,0.297,85,161,0.528,164,271,0.605,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,3.11,6.09,0.76,2.11,111.4,20.3
Jakob Poeltl,2016,0,FALSE,21,54,4,626,67,115,67,115,0,0,31,57,165,0,0,0,0,0.583,0.583,0,0.544,0.589,0.583,12.1,0,0,2015,0,FALSE,20,So,85,Utah,P12,C,1740,5,1.5,254,26,64,66.2,32,34,199,284,0.701,23,62,0.371,161,231,0.697,222,347,0.64,0,0,0,0,0,0,2014,19,22.1,67.9,62.7,17,17,101,135,0.748,24,48,0.5,52,120,0.433,125,183,0.683,0.5,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,4.07,6.28,4.11,5.13,112.9,12.3
Ivan Rabb,2017,0,FALSE,20,36,5,516,86,152,86,152,0,0,29,36,201,0,0,0,0,0.566,0.566,0,0.806,0.599,0.566,17.7,0,0,2016,0.444581682,FALSE,19,So,83,California,P12,PF/C,1619,4.8,2.6,155,24.2,49.7,54.1,21,22,86,133,0.647,57,159,0.358,124,187,0.663,143,292,0.49,6.4,8,0.49413218,20,1.235330451,0.4,2015,18,20.4,61.6,63.5,27,28,109,147,0.741,51,113,0.451,103,154,0.669,160,260,0.615,0.8,1,2,0.5,,,,,,,,,,,,,,,,,,,,,,,,1.82,5.12,1.07,2.21,103.7,18.8
Jayson Tatum,2017,0.970453502,TRUE,19,80,80,2443,397,835,292,593,105,242,213,258,1112,1.313,3.025,1.547,3.566,0.475,0.492,0.434,0.826,0.586,0.538,19.4,2.1,5,2016,0.906592074,TRUE,18,Fr,80,Duke,ACC,Wing F,1665,3.6,2.8,198,25.4,50.7,56.6,18,21,79,126,0.627,46,122,0.377,118,139,0.849,125,248,0.504,32.1,40,2.402402402,117,7.027027027,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,5.53,3.43,5.69,115.6,11.5
Zion Williamson,2019,0.429,FALSE,19,24,24,668,210,360,204,346,6,14,114,178,540,0.25,0.583,0.323,0.754,0.583,0.59,0.429,0.64,0.616,0.592,30.5,0.4,1,2018,0.673349752,FALSE,18,Fr,79,Duke,ACC,Wing F,1789,4.2,1,438,28.2,70.8,70.2,72,79,247,313,0.789,25,51,0.49,130,203,0.64,272,364,0.747,16.3,24,1.341531582,71,3.968697596,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26,8.88,4.18,6.31,118.6,36.9
Landry Shamet,2018,1.360909108,TRUE,21,79,27,1802,240,557,73,161,167,396,75,93,722,2.114,5.013,3.336,7.911,0.431,0.453,0.422,0.806,0.604,0.581,15,4.4,10.4,2017,1.563735098,TRUE,20,So,76,Wichita St.,Amer,Scoring PG,1518,1.4,1.3,232,21,62.2,65.5,6,7,51,77,0.662,19,49,0.388,85,103,0.825,70,125,0.56,60.3,84,5.533596838,190,12.51646904,0.442,2016,19,18.4,60.3,63.4,5,6,44,76,0.579,16,40,0.4,68,84,0.81,61,117,0.521,57.9,71,161,0.441,,,,,,,,,,,,,,,,,,,,,,,,5.17,5.67,5.05,5.1,123.1,25.8
Max Christie,2022,1.000348789,TRUE,19,41,3,512,44,106,18,44,26,62,14,16,128,0.634,1.512,1.828,4.359,0.415,0.409,0.419,0.875,0.566,0.538,10.4,2.4,5.7,2021,0.819156733,TRUE,18,Fr,78,Michigan St.,B10,Wing G,1842,2.7,4.3,70,17.2,44.9,49.4,9,10,23,48,0.479,50,122,0.41,61,74,0.824,73,170,0.429,42,39,2.117263844,123,6.67752443,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,2.63,1.18,2.13,109.9,17.2
Luke Kennard,2017,1.066154304,TRUE,21,73,9,1463,206,465,125,270,81,195,65,76,558,1.11,2.671,1.993,4.798,0.443,0.463,0.415,0.855,0.56,0.53,17.2,2.8,6.6,2016,1.304782238,TRUE,20,So,78,Duke,ACC,Wing G,2265,2.6,1.9,336,23,57.9,62.9,3,3,55,87,0.632,94,198,0.475,160,187,0.856,149,284,0.525,41.4,88,3.885209713,201,8.874172185,0.438,2015,19,20.1,50.3,55.6,2,2,48,71,0.676,38,92,0.413,88,99,0.889,86,163,0.528,51.3,55,172,0.32,,,,,,,,,,,,,,,,,,,,,,,,5.55,6.64,4.68,5.4,116.2,14.1
Keegan Murray,2022,1.306178433,TRUE,22,80,78,2382,354,782,148,281,206,501,62,81,976,2.575,6.263,3.113,7.572,0.453,0.527,0.411,0.765,0.597,0.584,15.8,4.1,10.1,2021,1.16753794,TRUE,21,So,80,Iowa,B10,Stretch 4,1929,4.8,1.4,405,28.1,61.4,63.8,63,67,196,277,0.708,45,111,0.405,142,190,0.747,241,388,0.621,30,66,3.421461897,166,8.605495075,0.398,2020,20,18,55.4,58.6,18,19,48,74,0.649,20,38,0.526,40,53,0.755,68,112,0.607,32.5,16,54,0.296,,,,,,,,,,,,,,,,,,,,,,,,6.28,8.27,5.32,6.53,119.5,19.5
Tyrese Haliburton,2020,1.164034407,TRUE,20,58,20,1746,292,619,171,323,121,296,48,56,753,2.086,5.103,2.495,6.103,0.472,0.529,0.409,0.857,0.585,0.569,18.1,3.3,8.1,2019,1.319156163,TRUE,19,So,77,Iowa St.,B12,Scoring PG,1251,1.4,1,27,21.5,61.1,63.1,7,8,46,62,0.742,26,60,0.433,37,45,0.822,71,120,0.592,50.8,52,4.15667466,124,9.912070344,0.419,2018,18,10.1,66.2,66.6,11,11,33,38,0.868,4,16,0.25,18,26,0.692,37,54,0.685,67.7,49,113,0.434,,,,,,,,,,,,,,,,,,,,,,,,3.91,6.24,3.81,5.73,100.1,1.4
Jaylin Williams,2022,0.988599565,TRUE,20,49,36,914,102,234,56,121,46,113,38,54,288,0.939,2.306,1.812,4.451,0.436,0.463,0.407,0.704,0.559,0.534,13.5,2.4,5.9,2021,0.440613557,FALSE,19,So,82,Arkansas,SEC,PF/C,2089,4.5,2.9,305,18.6,48.9,53.8,14,15,87,138,0.63,36,93,0.387,102,140,0.729,125,237,0.527,23.1,17,0.813786501,71,3.398755385,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,5.75,1.36,3.47,111.5,25.8
Collin Sexton,2018,0.951305629,TRUE,20,82,72,2605,519,1206,400,910,119,296,214,255,1371,1.451,3.61,1.645,4.091,0.43,0.44,0.402,0.839,0.52,0.48,25.2,2.3,5.6,2017,0.942187692,TRUE,19,Fr,75,Alabama,SEC,Scoring PG,1666,1.7,1,41,32.5,49.8,56.7,5,8,103,182,0.566,49,124,0.395,196,252,0.778,152,307,0.495,29.9,44,2.641056423,131,7.863145258,0.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,4.05,3.43,3.81,108.4,15.5
Patrick Williams,2020,0.720968377,FALSE,19,71,71,1983,255,528,201,390,54,138,91,125,655,0.761,1.944,0.98,2.505,0.483,0.515,0.391,0.728,0.562,0.534,14.9,1.3,3.4,2019,0.651300401,TRUE,18,Fr,80,Florida St.,ACC,Wing F,1207,3.6,3.3,220,21.9,49.5,55.1,25,32,53,85,0.624,26,72,0.361,62,74,0.838,79,158,0.5,24,16,1.325600663,50,4.142502071,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,4.86,1.04,2.33,105.9,17.4
